ps_number,part_name,part_type,manufacturer_part_number,part_manufacturer,part_price,part_description,install_difficulty,install_time,install_video_url,part_url,average_rating,num_reviews,appliance_type,brand,manufactured_for,availability,replaces_parts
PS12731483,Refrigerator Clip 5304522258,Hardware,5304522258,Frigidaire,6.9300,"Introducing the Frigidaire Clip, Wire Shelf, designed exclusively for your left-hand side refrigerator shelving. This genuine OEM part offers support for your refrigerator shelves, ensuring they stay firm and carry your stored items without hassle. Cost-effective, reliable and durable, this component is manufactured to work seamlessly with Frigidaire, Electrolux, White Westinghouse, and Tappan fridges. It's worth noting that this is a shelf support clip for the left side. Though the size and shape may have small variations, it offers a perfect fit when the correct model is selected. Remember to wear work gloves for your safety while installing this part. Please ensure to verify your model before purchasing to get the perfect clip for your fridge.",Very Easy,Less than 15 mins,,https://www.partselect.com/PS12731483-Frigidaire-5304522258-Refrigerator-Clip.htm?SourceCode=18,,,refrigerator,Frigidaire,"Frigidaire, Electrolux",In Stock,
PS1525803,Screw 218755504,Hardware,218755504,Frigidaire,21.8900,"Sold individually. This is a genuine part. The handle mounting shoulder screw (no.10 ab) is made for use with many refrigerators. The metal screw helps to fasten the handle assembly to the outer door panel. The handle mounting shoulder screw is sold individually. For the repair, you will need a pair of pliers.",Very Easy,Less than 15 mins,,https://www.partselect.com/PS1525803-Frigidaire-218755504-Screw.htm?SourceCode=18,5,3,refrigerator,Frigidaire,"Frigidaire, Electrolux, Kenmore, Crosley",In Stock,"AP3959968, 1196353, 218755501, 218755503, 241531501, 241531502, 7218755504, 7241531502"
PS469567,Gasket Retainer Clip Kit - 24 Pieces 5303922007,Hardware,5303922007,Frigidaire,57.6100,"This gasket retainer clip kit is for freezers. There are 24 pieces in this kit. The clips are what secure the gasket and liner to the freezer lid. The clips are white in color and made of plastic. If you notice frost build up in your freezer or that is it is not maintaining its temperature, this might be because the retainer clips have broken, and this has caused the gasket to become loose. This is a genuine OEM part that is obtained right from the manufacturer, ensuring a quality repair.",Easy,30 - 60 mins,,https://www.partselect.com/PS469567-Frigidaire-5303922007-Gasket-Retainer-Clip-Kit-24-Pieces.htm?SourceCode=18,2,2,refrigerator,Frigidaire,"Frigidaire, Kenmore, Gibson, Kelvinator",In Stock,"AP2150179, 799, 05875875, 06593209, 06593996, 06599816, 06599957, 08009409, 08037856, 09948237, 09948650, 3003413, 3091422, 3922007, 5300012116, 5303003413, 5303091422, 5303212828, 5875875, 6593209 ... Show more"
PS1526032,Screw 240521303,Hardware,240521303,Frigidaire,22.8900,"This small, Phillips-head screw works with your refrigerator/freezer. It screws in to the freezer door and connects to the door handle. This part is made of stainless steel and is sold individually. This is an OEM part sourced directly from the manufacturer.",Really Easy,Less than 15 mins,,https://www.partselect.com/PS1526032-Frigidaire-240521303-Screw.htm?SourceCode=18,4,4,refrigerator,Frigidaire,"Kenmore, Frigidaire, Crosley, Westinghouse",In Stock,"AP3959998, 1196408, 240521301"
PS899288,Single Washer 240311303,Hardware,240311303,Frigidaire,17.9000,Sold Individually.,Easy,15 - 30 mins,,https://www.partselect.com/PS899288-Frigidaire-240311303-Single-Washer.htm?SourceCode=18,5,3,refrigerator,Frigidaire,"Frigidaire, Kenmore, Crosley, Westinghouse",In Stock,"AP3559694, 1036095, 240311301"
PS12731488,SCREW 5304522279,Hardware,5304522279,Frigidaire,6.9300,,,,,https://www.partselect.com/PS12731488-Frigidaire-5304522279-SCREW.htm?SourceCode=18,,,refrigerator,Frigidaire,"Frigidaire, Electrolux",In Stock,"5304522281, 5304524220, 5304524221, 5304524222, 5304537117"
PS2332086,Freezer Basket Slide Clip 297049500,Hardware,297049500,Frigidaire,28.8700,"The basket clip slide is commonly found in refrigerators and freezers. This part is made of high-quality plastic, and is used to connect the basket to the basket sliders. No tools are required when replacing this item. Simply remove the old part and snap the new one into place. This item is sold as an individual replacement part.",,,,https://www.partselect.com/PS2332086-Frigidaire-297049500-Freezer-Basket-Slide-Clip.htm?SourceCode=18,3.5,4,refrigerator,Frigidaire,"Electrolux, Frigidaire, Kenmore",In Stock,"AP4354674, 1465486, 7297049500"
PS428655,Screw 218755402,Hardware,218755402,Frigidaire,10.9200,10 - 32 x 0.375,A Bit Difficult,30 - 60 mins,,https://www.partselect.com/PS428655-Frigidaire-218755402-Screw.htm?SourceCode=18,5,2,refrigerator,Frigidaire,"Frigidaire, Kenmore, Crosley, Electrolux",In Stock,"AP2115091, 899226, 218755406, 218755407, 218755409, 7218755402"
PS8698462,LAMP-HALOGEN 00189351,Light or Bulb,00189351,Bosch,24.2800,,,,,https://www.partselect.com/PS8698462-Bosch-00189351-LAMP-HALOGEN.htm?SourceCode=18,,,refrigerator,Bosch,"Bosch, Gaggenau, Thermador",In Stock,"AP3954030, 00420228, 00603994, 189351, 420228, 603994, 830236"
PS8696743,LAMP-HALOGEN 00157311,Light or Bulb,00157311,Bosch,48.0500,,,,,https://www.partselect.com/PS8696743-Bosch-00157311-LAMP-HALOGEN.htm?SourceCode=18,5,1,refrigerator,Bosch,"Thermador, Bosch, Gaggenau",In Stock,"AP2801933, 00150188, 00187385, 00415813, 14-38-551, 150188, 157311, 187385, 415813, 604186"
PS12704514,Refrigerator Light Cover W11284721,Light or Bulb,W11284721,Whirlpool,56.3900,,,,,https://www.partselect.com/PS12704514-Whirlpool-W11284721-Refrigerator-Light-Cover.htm?SourceCode=18,,,refrigerator,Whirlpool,"Whirlpool, Maytag, Amana, KitchenAid",In Stock,"12806501, 12806501N, 67003897, 8208188, W11132917, WP67003897"
PS11743499,Light Bulb WP67002552,Light or Bulb,WP67002552,Whirlpool,7.9300,,,,,https://www.partselect.com/PS11743499-Whirlpool-WP67002552-Light-Bulb.htm?SourceCode=18,,,refrigerator,Whirlpool,"Whirlpool, Amana, Maytag, Admiral",In Stock,"AP6010320, 1077201, 2158865, 24082-1, 24082-2, 67002552, 7-3027, 703027, 7407P001-60, 7407P027-60, 851682, A0282802, A0282802Q, A0282808, A0282808V, WP851682, Y703027"
PS2375014,HOUSING- L 12806601,Light or Bulb,12806601,Whirlpool,57.5400,,,,,https://www.partselect.com/PS2375014-Whirlpool-12806601-HOUSING-L.htm?SourceCode=18,,,refrigerator,Whirlpool,"Maytag, Amana, Whirlpool, KitchenAid",Special Order,"AP4511376, 12806601V, 67003901, 8208189"
PS8725921,LAMP 00602674,Light or Bulb,00602674,Bosch,12.0000,,,,,https://www.partselect.com/PS8725921-Bosch-00602674-LAMP.htm?SourceCode=18,,,refrigerator,Bosch,"Bosch, Gaggenau",Special Order,"AP4508914, 00039338, 00060043, 00158238, 039338, 060043, 099015, 158238, 39338, 60043, 602674"
PS8726190,LAMP-HALOGEN 00604186,Light or Bulb,00604186,Bosch,16.4700,,,,,https://www.partselect.com/PS8726190-Bosch-00604186-LAMP-HALOGEN.htm?SourceCode=18,,,refrigerator,Bosch,"Gaggenau, Thermador, Bosch",In Stock,AP3955411
PS8726559,LAMP-HALOGEN 00606212,Light or Bulb,00606212,Bosch,50.7900,,,,,https://www.partselect.com/PS8726559-Bosch-00606212-LAMP-HALOGEN.htm?SourceCode=18,,,refrigerator,Bosch,"Gaggenau, Bosch",Special Order,"AP4066931, 606212"
PS8726567,LAMP-HALOGEN 00606228,Light or Bulb,00606228,Bosch,47.6700,,,,,https://www.partselect.com/PS8726567-Bosch-00606228-LAMP-HALOGEN.htm?SourceCode=18,,,refrigerator,Bosch,"Gaggenau, Bosch",Special Order,"AP4070518, 606228"
PS11738468,Refrigerator Door Closer (Apollo Gray) WP12028505AP,Hinge,WP12028505AP,Whirlpool,43.8300,"This refrigerator door closer cam is a genuine OEM component designed to work in conjunction with the door hinge, ensuring smooth pivoting and secure closure of the refrigerator door. It plays a critical role in maintaining an effective seal, preventing warm air from entering the compartment and helping conserve energy. Over time, wear or damage to the cam can result in poor door alignment, difficulty closing, or unwanted clicking noises. Replacing this part restores proper door function and helps maintain consistent internal temperatures. Installation typically involves removing the hinge assembly and securing the new cam in place using standard tools.",,,https://www.youtube.com/watch?v=b86H0WEpsfU,https://www.partselect.com/PS11738468-Whirlpool-WP12028505AP-Refrigerator-Door-Closer-Apollo-Gray.htm?SourceCode=18,,,refrigerator,Whirlpool,"Whirlpool, Maytag, KitchenAid, Kenmore",In Stock,"AP6005420, 12028505AP, W10191100"
PS12070437,Door Hinge W11049959,Hinge,W11049959,Whirlpool,54.1200,"This is the genuine Whirlpool Lower Door Hinge, essential for the smooth operation of your appliance. Crafted with precision, it supports your refrigerator door and allows it to pivot with ease for opening and closing. Because this hinge is a genuine OEM part, it matches certain models of several well-known brand appliances, offering consistency in function and performance. Despite identical appearances, components may differ slightly in size and shape; hence, it is critical to validate compatibility with your appliance model before ordering. Finish your installation with work gloves for your safety and protection. Trust in Whirlpool for high-quality appliance parts that uphold your kitchen's efficiency and reliability.",,,,https://www.partselect.com/PS12070437-Whirlpool-W11049959-Door-Hinge.htm?SourceCode=18,5,1,refrigerator,Whirlpool,"Whirlpool, Kenmore, Maytag, Amana",In Stock,"W10140528, W10409481, W10714071, W10846220, W10846222, WPW10409481"
PS3501052,Condenser Fan Motor 242018301,Motor,242018301,Frigidaire,94.9500,"This condenser fan motor is a genuine replacement part designed for select refrigerator models. It drives the fan blade to circulate air across the condenser coils, helping cool the refrigerant and maintain optimal temperatures in both the freezer and fresh food compartments. Proper airflow is essential for efficient cooling, and a faulty motor may result in poor performance, excessive noise, or temperature fluctuations. This OEM component is compatible with various models and replaces several part numbers. Sold individually.",Really Easy,15 - 30 mins,,https://www.partselect.com/PS3501052-Frigidaire-242018301-Condenser-Fan-Motor.htm?SourceCode=18,5,3,refrigerator,Frigidaire,"Frigidaire, Kenmore, Crosley, Electrolux",In Stock,"AP5272397, 242018304, 297279502"
PS3502361,Evaporator Fan Motor (115v) 297309000,Motor,297309000,Frigidaire,56.2200,"This evaporator fan motor is 115V. If you notice that your freezer is noisy or is too warm, you may need to replace the evaporator fan motor. This package comes with the evaporator fan motor itself, as well as a wire harness. The evaporator fan motor is in the back of the freezer, so you will need to remove your freezer shelves and the back panel before you can access it. The function of the evaporator fan motor is to circulate air over the coils. The coils convert the heat into cool air, which is then circulated. Be sure to remove the power source from the freezer before you begin this repair.",Really Easy,15 - 30 mins,https://www.youtube.com/watch?v=z6o1xml52Bw,https://www.partselect.com/PS3502361-Frigidaire-297309000-Evaporator-Fan-Motor-115v.htm?SourceCode=18,5,10,refrigerator,Frigidaire,"Frigidaire, Kenmore, Electrolux, Crosley",In Stock,"216914200, 216934100, 297250000, 5304442624, 7216914200, 7216934100, 7297250000"
PS3419839,Evaporator Fan Motor Kit - 120V 60Hz 5303918549,Motor,5303918549,Frigidaire,58.2000,"The evaporator fan motor (Motor Evaporator Fan, Evaporator Fan Motor Kit, Evaporator Fan Motor, Refrigerator Evaporator Fan Motor) circulates air through the food compartment for efficient cooling in refrigerators. The evaporator fan motor can squeal as its bearing dries out. The motor bearings can totally seize, preventing any movement. The motor coil can also burn out, preventing any fan movement. If this motor fails, the refrigerator compartment will warm up and eventually the freezer will reduce cooling as well. Excessive frost can build up on the evaporator coil due to lack of air movement. The motor can make a squealing noise when it is beginning to fail or will not operate at all when powered, and this is a sign it should be replaced. The evaporator is located in the rear of the freezer compartment. This part measures 2-1/2 inches wide by 3 inches tall by 1 inch thick, at its widest point. It is constructed of plastic and metal, and comes in black/silver. This kit includes the evaporator fan motor and harness.",Easy,30 - 60 mins,https://www.youtube.com/watch?v=ngF89wL67ko,https://www.partselect.com/PS3419839-Frigidaire-5303918549-Evaporator-Fan-Motor-Kit-120V-60Hz.htm?SourceCode=18,4.29,28,refrigerator,Frigidaire,"Frigidaire, Kenmore, Westinghouse, Gibson",In Stock,"AP4700070, 1637660, 5303918549, 240315801, 240315802, 240315803, 240369701, 240369702, 241537301, 5304445861"
PS11766772,Refrigerator Condenser Fan Motor Kit 5303918774,Motor,5303918774,Frigidaire,121.9500,"This is a replacement condenser fan motor kit for your refrigerator. This six-piece kit contains foam tape, 2 screws, the fan blade, the new motor mounting bracket, and the condenser fan motor. The condenser fan motor is found in the back of the refrigerator, and it moves air across the compressor and the condenser to keep them cool. If the motor has failed, the condenser and the compressor will run hot, and this can cause the refrigerator not to cool. This is an OEM part from the manufacturer.",Easy,30 - 60 mins,https://www.youtube.com/watch?v=k_YluLoCbfE,https://www.partselect.com/PS11766772-Frigidaire-5303918774-Refrigerator-Condenser-Fan-Motor-Kit.htm?SourceCode=18,4.31,16,refrigerator,Frigidaire,"Frigidaire, Kenmore, Crosley, Westinghouse",In Stock,"AP6034262, 240334001, 240334003, 240334004, 240397101, 240453600, 240453601, 240525401, 240525402, 241681101, 241712101, 241879301, 241879302, 241885813, 241935601, 241935602, 5303918635, 5303918745, 5304479002, 5304491362 ... Show more"
PS12731386,MOTOR 242219206,Motor,242219206,Frigidaire,107.6600,"This is an essential part for your Frigidaire refrigerator - a genuine OEM Evaporator Fan Motor. This component plays a crucial role in efficiently circulating air through the fresh food compartment of your fridge, helping to maintain optimal cooling conditions. It's advised to safely store perishable food elsewhere and to always unplug your refrigerator prior to installation of this part. For your protection, wearing work gloves during installation is recommended. Please ensure that this fan motor is the correct component for your specific Frigidaire model before purchase. Enjoy a cooler, more efficient refrigerator with this quality Frigidaire Evaporator Fan Motor.",,,,https://www.partselect.com/PS12731386-Frigidaire-242219206-MOTOR.htm?SourceCode=18,,,refrigerator,Frigidaire,"Frigidaire, Electrolux",In Stock,5304539152
PS16544514,MOTOR 809069206,Motor,809069206,Frigidaire,86.3500,"This evaporator fan motor with harness is a genuine OEM replacement part designed to circulate cold air throughout the refrigerator and freezer compartments. By moving air across the evaporator coils, it ensures even cooling and helps maintain consistent internal temperatures for optimal food preservation. A malfunctioning fan motor can lead to uneven cooling, frost buildup, or temperature fluctuations. This component is engineered for compatibility with a range of refrigerator models and is built to meet high standards of durability and performance. Always disconnect the appliance from power before installation and verify compatibility with your specific model.",Really Easy,30 - 60 mins,,https://www.partselect.com/PS16544514-Frigidaire-809069206-MOTOR.htm?SourceCode=18,,,refrigerator,Frigidaire,"Frigidaire, Kenmore, Electrolux, Crosley",In Stock,809069201
PS3497843,Condenser Fan Motor 297279500,Motor,297279500,Frigidaire,98.2900,This fan motor circulates the air through the refrigerator grille and cools the compressor and condenser coils. It also helps to evaporate extra water in the drain pan.,,,,https://www.partselect.com/PS3497843-Frigidaire-297279500-Condenser-Fan-Motor.htm?SourceCode=18,5,1,refrigerator,Frigidaire,"Frigidaire, Kenmore, Electrolux, Crosley",In Stock,"AP5270383, 1940423, 241584301, 7241584301"
PS16660872,MOTOR 5304530651,Motor,5304530651,Frigidaire,100.5600,"Crafted by Frigidaire, this Evaporator Fan Motor is an original OEM product. It ensures an optimum level of air circulation through your refrigerator's fresh food compartment, promoting efficient cooling. This component is designed for compatibility with certain models of Frigidaire, Electrolux, White Westinghouse, and Tappan appliances. It's crucial to confirm the part's fit for your specific model before finalizing your order, as slight size and shape variations may exist among different parts. For safe installation, make sure to unplug your refrigerator and wear work gloves to protect your hands. This durable, high-quality fan motor component is capable of enhancing your refrigerator's performance and longevity.",,,,https://www.partselect.com/PS16660872-Frigidaire-5304530651-MOTOR.htm?SourceCode=18,,,refrigerator,Frigidaire,"Frigidaire, Electrolux",In Stock,242077704
PS8770222,Cooling Fan Kit 5304493604,Motor,5304493604,Frigidaire,68.0700,,,,,https://www.partselect.com/PS8770222-Frigidaire-5304493604-Cooling-Fan-Kit.htm?SourceCode=18,5,1,refrigerator,Frigidaire,"Frigidaire, Electrolux, Crosley, Kenmore",In Stock,"AP5805252, 242119401"
PS12746805,Refrigerator Motor Fan 5304523741,Motor,5304523741,Frigidaire,99.9000,"Improve your refrigerator's functionality with this genuine, high-quality MOTOR-FAN, EVAPORATOR from Frigidaire. Expertly designed, this evaporator fan motor drives cool air circulation through the fresh food and freezer compartments to enhance efficient cooling. It's recommended to unplug your refrigerator and if applicable, remove any perishable food before installing for your safety. Also, wearing work gloves is advisable during installation to safeguard your hands. Please ensure the part fits your specific model before purchase, as parts may exhibit minor variations in size and shape. Rely on Frigidaire for top-tier appliance solutions.",,,,https://www.partselect.com/PS12746805-Frigidaire-5304523741-Refrigerator-Motor-Fan.htm?SourceCode=18,5,1,refrigerator,Frigidaire,"Frigidaire, Electrolux",In Stock,
PS323906,Fresh Food Door Gasket - Black 2159083,Seal or Gasket,2159083,Whirlpool,145.3100,This door gasket is used to seal the refrigerator door when closed to keep the cool air inside and the room air out.,Really Easy,30 - 60 mins,https://www.youtube.com/watch?v=YSYRnv88hxw,https://www.partselect.com/PS323906-Whirlpool-2159083-Fresh-Food-Door-Gasket-Black.htm?SourceCode=18,5,5,refrigerator,Whirlpool,"Whirlpool, Kenmore, KitchenAid, Maytag",In Stock,"AP3038628, 443026, 2159083, 2159083, 2171185, 2181893, 2196241, 2221313, 2309529, W10912133"
PS11740399,Door Gasket WP2319265T,Seal or Gasket,WP2319265T,Whirlpool,114.0000,This door gasket is used to make an air-tight seal for the cabinet when the door is closed,,,,https://www.partselect.com/PS11740399-Whirlpool-WP2319265T-Door-Gasket.htm?SourceCode=18,,,refrigerator,Whirlpool,"Whirlpool, Kenmore, Amana, Estate",In Stock,"2264506, 2264728, 2319265T, W10190033"
PS323891,Fresh Food Door Gasket 2159057,Seal or Gasket,2159057,Whirlpool,112.1400,This door gasket is used to seal the refrigerator door when closed to keep the cool air inside and the room air out.,Easy,30 - 60 mins,https://www.youtube.com/watch?v=ocsTIsbTd3A,https://www.partselect.com/PS323891-Whirlpool-2159057-Fresh-Food-Door-Gasket.htm?SourceCode=18,3.75,4,refrigerator,Whirlpool,"Whirlpool, Kenmore, KitchenAid, Roper",In Stock,"AP2988055, 443006, 2159051, 2159057, 2171376, 2171386, 2177242, 2177307, 2202874, 2214962"
PS323900,Fresh Food Door Gasket 2159075,Seal or Gasket,2159075,Whirlpool,160.7100,This door gasket is used to seal the refrigerator door when closed to keep the cool air inside and the room air out.,Really Easy,30 - 60 mins,https://www.youtube.com/watch?v=YSYRnv88hxw,https://www.partselect.com/PS323900-Whirlpool-2159075-Fresh-Food-Door-Gasket.htm?SourceCode=18,4,1,refrigerator,Whirlpool,"Whirlpool, Kenmore, KitchenAid, Maytag",In Stock,"AP3083603, 443020, 2159071, 2159075, 2159079, 2171177, 2177290, 2181889, 2196243, 2221302, 2309528, W10912123"
PS11740396,Door Gasket WP2319264B,Seal or Gasket,WP2319264B,Whirlpool,163.8600,"Introducing the Black Fresh Food Door Gasket, a genuine OEM part from the recognized brand, Whirlpool. This refrigerator door gasket is the ideal solution for preserving the efficiency of your refrigerator. It operates by creating a seal around your refrigerator door, preventing warm air from entering and upsetting the crucial cool internal temperature. To provide hassle-free installation, it attains smooth folds and creases when soaked in warm water or warmed with a hairdryer on low heat. Safeguard your refrigerated foods' freshness and extend the lifespan of your appliance with this high-quality replacement door gasket. Please remember to verify your model before ordering as despite similar appearances, the size and shape can have minor variations.",,,,https://www.partselect.com/PS11740396-Whirlpool-WP2319264B-Door-Gasket.htm?SourceCode=18,,,refrigerator,Whirlpool,"Whirlpool, Amana, Maytag, Kenmore",In Stock,"AP6007283, 2215400, 2262082, 2264723, 2319264B"
PS328705,Freezer Door Gasket 2188462A,Seal or Gasket,2188462A,Whirlpool,65.2500,This door gasket is used to seal the freezer door when closed.,Easy,30 - 60 mins,,https://www.partselect.com/PS328705-Whirlpool-2188462A-Freezer-Door-Gasket.htm?SourceCode=18,1,1,refrigerator,Whirlpool,"Whirlpool, Roper, Kenmore, Estate",In Stock,"AP3092367, 899209, 2165383, 2166000, 2166001, 2188462A, 2191889, 2262079, 4387568"
PS11740397,Refrigerator Door Gasket WP2319264T,Seal or Gasket,WP2319264T,Whirlpool,110.7400,This door gasket is used to seal the refrigerator door when closed to keep the cool air inside and the room air out. (Misty Beige),,,https://www.youtube.com/watch?v=Ig_nU4KSdP0,https://www.partselect.com/PS11740397-Whirlpool-WP2319264T-Refrigerator-Door-Gasket.htm?SourceCode=18,3,2,refrigerator,Whirlpool,"Whirlpool, Amana, Kenmore, Roper",In Stock,"AP6007284, 2197171, 2262080, 2263258, 2319264T, W10190032"
PS12114490,Door Trim W11129820,Trim,W11129820,Whirlpool,59.8700,"This Whirlpool TRIM-DOOR Door shelf bar is an authentic OEM part ideal for those seeking a reliable and durable replacement piece. Perfectly crafted to fit certain Whirlpool models, its size and shape may slightly vary hence, careful selection before purchase is vital to ensure it matches your appliance. Installation is quick and seamless as the Door shelf bar conveniently snaps into place to hold your items securely on the refrigerator's door shelf. In order to facilitate correct fitting, please refer to the instructions provided in your owner's manual upon installation. Upgrade your Whirlpool refrigerator with this quality TRIM-DOOR shelf bar and keep your items organized. Please remember this is a genuine part from Whirlpool, ensuring optimal quality and performance.",,,,https://www.partselect.com/PS12114490-Whirlpool-W11129820-Door-Trim.htm?SourceCode=18,1,1,refrigerator,Whirlpool,"Whirlpool, Amana, Kenmore, Estate",In Stock,"2264785, 2264810, 2266729, W10176896, W10234242, W10719700, WPW10234242"
PS16744849,Door Trim W11606660,Trim,W11606660,Whirlpool,23.8800,Shelf Trim,,,,https://www.partselect.com/PS16744849-Whirlpool-W11606660-Door-Trim.htm?SourceCode=18,5,1,refrigerator,Whirlpool,"Whirlpool, Maytag, Kenmore, Admiral",In Stock,"W10720448, W10859818, W11230195"
PS12349362,Front Drawer Trim W11214888,Trim,W11214888,Whirlpool,50.2300,Genuine OEM part,,,,https://www.partselect.com/PS12349362-Whirlpool-W11214888-Front-Drawer-Trim.htm?SourceCode=18,4.5,2,refrigerator,Whirlpool,"Whirlpool, Kenmore, Admiral, Kenmore",In Stock,"AP6329115, W11084209"
PS17216313,TRIM-SHELF DOOR WHITE W11678258,Trim,W11678258,Whirlpool,52.2900,,,,,https://www.partselect.com/PS17216313-Whirlpool-W11678258-TRIM-SHELF-DOOR-WHITE.htm?SourceCode=18,1,1,refrigerator,Whirlpool,"Whirlpool, Kenmore, Maytag, Admiral",In Stock,W10720455
PS12114454,TRIM-DOOR W11126062,Trim,W11126062,Whirlpool,60.4900,"This genuine Whirlpool TRIM-DOOR is a must-have for your refrigerator's maintenance and longevity. Specifically designed for Whirlpool appliances, it also fits a range of models by KitchenAid, Maytag, Jenn-Air, Amana, Inglis, and Magic Chef, thereby assuring its convenience and versatility. As a door shelf rail, it effortlessly snaps into place on your refrigerator door, thereby enhancing its functionality. You can rely on it to dutifully secure items on the door shelf. Despite its identical appearance to similar parts, its size and shape may have slight variations, thus, necessitate verifying the part number with your model before purchase. Please follow the instructions provided in the owner's manual when installing this TRIM-DOOR to ensure the best results.",,,,https://www.partselect.com/PS12114454-Whirlpool-W11126062-TRIM-DOOR.htm?SourceCode=18,5,1,refrigerator,Whirlpool,"Whirlpool, Maytag, Admiral",On Order,W10592148
PS10063630,TRIM-DOOR W10592150,Trim,W10592150,Whirlpool,59.0300,,,,,https://www.partselect.com/PS10063630-Whirlpool-W10592150-TRIM-DOOR.htm?SourceCode=18,,,refrigerator,Whirlpool,"Whirlpool, Maytag, Admiral",In Stock,
PS12578734,TRIM-PAN W11236850,Trim,W11236850,Whirlpool,50.2300,,,,,https://www.partselect.com/PS12578734-Whirlpool-W11236850-TRIM-PAN.htm?SourceCode=18,,,refrigerator,Whirlpool,"Whirlpool, Kenmore, Admiral, Kenmore",In Stock,"W10260986, W11034724"
PS3503963,TRIM-SHELF W10272382,Trim,W10272382,Whirlpool,81.6900,,,,,https://www.partselect.com/PS3503963-Whirlpool-W10272382-TRIM-SHELF.htm?SourceCode=18,,,refrigerator,Whirlpool,"Whirlpool, Amana, Admiral, Inglis",Special Order,
PS11742706,"TRIM, MIDDLE CLEAR CT27N WP487627",Trim,WP487627,Whirlpool,11.9200,,Really Easy,30 - 60 mins,,https://www.partselect.com/PS11742706-Whirlpool-WP487627-TRIM-MIDDLE-CLEAR-CT27N.htm?SourceCode=18,,,refrigerator,Whirlpool,"Maytag, Admiral, Magic Chef, Jenn-Air",Special Order,"14-31-756-04, 487627, 69431-1, Y694311"
PS11701820,Shelf Trim W10604633,Trim,W10604633,Whirlpool,62.7700,,,,,https://www.partselect.com/PS11701820-Whirlpool-W10604633-Shelf-Trim.htm?SourceCode=18,,,refrigerator,Whirlpool,"Whirlpool, Amana, Admiral",Special Order,
PS12364145,Mullion Hinge 241779802,Hinge,241779802,Frigidaire,39.8400,"Designed to support proper door alignment and sealing, this hinge mullion flipper closes the gap between refrigerator doors, helping to maintain optimal cooling performance. It plays a key role in reducing energy loss and keeping food fresh by preventing warm air from entering the fridge. This part fits select models and installs between the doors—please verify compatibility before purchase.",,,,https://www.partselect.com/PS12364145-Frigidaire-241779802-Mullion-Hinge.htm?SourceCode=18,,,refrigerator,Frigidaire,"Frigidaire, Electrolux, Kenmore, Crosley",In Stock,"AP6261464, 241779801, 7241779801"
PS976452,Hinge Bearing 240328203,Hinge,240328203,Frigidaire,29.8700,"This refrigerator door hinge bearing is a durable black plastic component designed to fit into the bottom of the door, providing a smooth pivot point for the hinge pin. It plays a critical role in ensuring effortless door movement, reducing friction, and maintaining proper alignment. Positioned at the lower hinge area, it helps eliminate stiffness, noise, and misalignment that can interfere with door operation. Over time, wear may result in symptoms such as squeaking, clicking, or difficulty opening and closing the door. Replacing this bearing restores smooth functionality and helps prevent issues like door sweating or inefficient sealing.",Really Easy,15 - 30 mins,https://www.youtube.com/watch?v=0GScyyhX-Cs,https://www.partselect.com/PS976452-Frigidaire-240328203-Hinge-Bearing.htm?SourceCode=18,4.91,64,refrigerator,Frigidaire,"Frigidaire, Kenmore, Electrolux, Westinghouse",In Stock,"AP3757897, 1056737, 7240328203"
PS11770608,Hinge Bearing 5304507146,Hinge,5304507146,Frigidaire,11.9200,"This is a replacement hinge bearing for your refrigerator. The hinge bearing is found on the door hinge, and reduces friction when the door opens and closes. If the bearing is damaged, you may not be able to open or close the door properly, and in this case, it will need to be replaced. It is made of white plastic and is approximately 2 inches long and 1 inch in diameter. This part is sold individually and is a genuine OEM part.",Really Easy,15 - 30 mins,https://www.youtube.com/watch?v=KobJVJ2ZwnU,https://www.partselect.com/PS11770608-Frigidaire-5304507146-Hinge-Bearing.htm?SourceCode=18,3.75,4,refrigerator,Frigidaire,"Frigidaire, Kenmore, Crosley, Westinghouse",In Stock,"AP6038496, 240311201, 240527101"
PS11770609,Hinge Bearing 5304507147,Hinge,5304507147,Frigidaire,11.9200,"This door hinge bushing, or hinge bearing, is a genuine OEM replacement part for your refrigerator. The hinge bearing helps the refrigerator door stay on track when opening and closing, ensuring it is flush with the cabinet when closed. You will need a screwdriver and a ratchet in order to complete this repair.",Easy,30 - 60 mins,,https://www.partselect.com/PS11770609-Frigidaire-5304507147-Hinge-Bearing.htm?SourceCode=18,4,1,refrigerator,Frigidaire,"Frigidaire, Kenmore, Crosley, Westinghouse",In Stock,"AP6038497, 240311202, 240527102"
PS430814,Door Closing Cam 240457701,Hinge,240457701,Frigidaire,54.6800,Sold individually. This cam is located at the bottom of the fridge/freezer door.,Really Easy,15 - 30 mins,https://www.youtube.com/watch?v=R1_7dOUOrU8,https://www.partselect.com/PS430814-Frigidaire-240457701-Door-Closing-Cam.htm?SourceCode=18,4.63,32,refrigerator,Frigidaire,"Frigidaire, Kenmore, Westinghouse, Crosley",In Stock,"AP2116504, 891712, 240457701, 240328001, 240407801, 240457702, 241550101, 241550201, 7240457701"
