ps_number,story_id,title,instruction,author,difficulty,repair_time,helpful_count,vote_count
PS11750673,93061,refrigerator not freeze,"i didn't repair replace capacitor, bi metal defrost thermostat and still not freeze also replace light door switch any suggestion thanks","edgar from PAWTUCKET, RI",Really Easy,30 - 60 mins,2,3
PS11750673,92721,Fridge won't start,"When you plug in the fridge it will begin to make noise, but never get cool. When you open the door it will stop and will not turn back on.

RELAY-STRT (PS11770133) is listed as one that can fix the problem, but the installation video does not match my fridge.

I've replaced the capacitor (PS11757023), the compressor","Justin from BROOKLYN, NY",Very Difficult,30 - 60 mins,4,4
PS11750673,92280,freezer section freezing up ( not defrosting ),"ordered the parts ,defrost timer and bi-metal thermostat,assumed it would be more practical to replace both than take a chance . watched a video on how to disassemble the control panel and remove the the timer and the back panel of freezer for the bi-metal thermostat,very clear instructions provided .took about 25 minutes to replace both","John from COLUMBIA, LA",Really Easy,15 - 30 mins,3,4
PS11739232,93522,Very easy to follow.,I just did what the instructions outlined and the job was done fast.,"Ronald from MONROE TWP, NJ",Really Easy,30 - 60 mins,3,5
PS11739232,91318,fridge and freezer stopped maintaining proper temp,I followed the repair videos that were provided by partselect and installed a bi-metal defrost thermostat in the freezer and a thermostat assembly in the fridge. The installation was not hard and everything is now working as it should. Thanks,"Donald from CONWAY SPGS, KS",Easy,30 - 60 mins,3,3
PS11739232,86019,Refrigerator would not stay cold and freezer would thaw.,I watched the repair video and did exactly as described. Excellent video and step by step instructions. Follow them and you cannot go wrong.,"Michael from SYLVA, NC",Easy,30 - 60 mins,3,4
PS11739232,85901,Thermostat didn't work as suppose to be,I follow the video From The Tech Guy ( Gentleman ). Thank you... Best Regards .Fco,"Francisco from KENNETH CITY, FL",Really Easy,30 - 60 mins,2,2
PS11739232,85672,"Refrigerator would run, then stop on it's own would start again if I would change the temp setting on refrigerator",just as the installation video show (very helpful) however the sheath tube that was pulled off of the old capillary tube did not go back on the new tube near as easy as the video showed. Got it on however and refrigerator is working like a champ now,"Duane from CASA GRANDE, AZ",Easy,30 - 60 mins,2,2
PS11739232,85523,Thermostat stopped working. Only cooled at highest setting.,Repair video was excellent but thermostat unit was slightly different then original. Fortunately guessed right regarding connections. Also very difficult to place the insulating plastic on wiring. Not very smooth. Also removing panel was different then in video. Needed to remove the panel to reveal two screws underneath that need to,"stefan from BLOOMINGBURG, NY",A Bit Difficult,30 - 60 mins,1,1
PS11739232,85293,Freezer would stop operation either during defrost cycle or normal operation and would intermittently start after the fridge thawed out.,"I took apart the thermostatic switch and cleaned the contacts (noticed carbon or corrosion dust beneath the switch). I installed the old switch back in the fridge until new switch arrived. This seemed to solve the problem. I ordered a new thermostatic switch and a new defrost timer since these two items if defective, cause similar sympt","Jeffrey from HOLLYWOOD, MD",Easy,30 - 60 mins,3,3
PS11739232,85092,"The unit would run fine, cool to set temp. then warm up and not restart. Used your trouble shooter and it recomended replacing the capacitor.",Replaced the capacitor per your video. Tested and the problem persisted. Next replaced the thermostat per your video. Tested and the unit functions properly. The challenge was the connector locations on the new thermostat were different than the original. Front and back instead of top and bottom. I could not find an answer for wire instal,"Ricky from PALOUSE, WA",Really Easy,30 - 60 mins,1,1
PS11739232,84834,needed termastat,your video made it very easy...Thank You,"Milton from NEW YORK, NY",Really Easy,30 - 60 mins,1,1
PS11739232,84462,Freezer would go from zero to 55 degrees. Ruined all my food.,Followed instructions in video.,"William from CARROLLTON, GA",Really Easy,30 - 60 mins,1,1
PS8769007,98845,Refigerator not cooling,"I followed your video instructions, is very important to have this information.","Carlos from MOSINEE, WI",Really Easy,30 - 60 mins,2,2
PS8769007,97610,"Refrigerator was to warm, about 50 degrees. Freezer working fine.","Came across your site and upon checking site out, I ordered the above parts. Repair was easy, thanks to your tutorial. Did not fix problem, so I posed a question to your site and it was recommended I replace the evap fan. I ordered that part. Thank goodness for next day shipping.
That repair was easy as well, thanks to feedback","Robert from QUEENSBURY, NY",Really Easy,1- 2 hours,2,2
PS8769007,94805,I want to mention this is a garage ref with freezer on top. Freezer was to warm 20-32 deg.,"Replaced thermostat and defrost timer and still freezer to warm.
After research with U-tube video of (Fixin it with Pappy) discovered that my fridge has one thermostat in fridge section and in cold months (live in ohio)the garage is cold therefore themostat in fridge does""nt need to tell the compressor to kick on. Pappy is a retired","John from S CHARLESTON, OH",Easy,15 - 30 mins,3,3
PS8769007,94424,Refrigerator did not cycle,"Installation was fairly straight forward. The major complaint is that the problem returned 2 weeks later. I don’t know if I care to re-invest in another switch.
Now what?","JACOB from YOUNGSTOWN, OH",Really Easy,30 - 60 mins,1,1
PS8769007,91777,Freezer no freezing the food,Disconnect the power. To install the Defrost timer which is located inside the console at the top of the fridge I followed a YouTube video. It is very easy. Keep in mind that the Defrost timer comes settled in defrost mode so the compressor will not start after the power is reconnected.There is a hole in the console just behind the Defro,"Orlando from FT LAUDERDALE, FL",Easy,30 - 60 mins,2,2
PS8769007,91708,Not running,"After waiting over 2wks for my part to arrive, I purchased the part locally and made the repair the same day as I am still waiting for the part to arrive from you guys. Your customer service really needs improving. I paid for 2 day shipping, what a joke. I will be returning the part as soon as I receive it thanks.","Kenneth from SAVANNAH, GA",Really Easy,Less than 15 mins,8,10
PS8769007,83494,"top freezer working properly, but lower fridge not cooling.",since I had my fridge since 2003 it seems that I've gotten my moneys worth but it has worked flawlessly with no issues. I did not want to part with it so I troubled shoot the system and realized that it could have been number of things so I just decided after reading some reviews here on this site I decided to just purchase the items tha,"Charles from NEW YORK, NY",Easy,More than 2 hours,26,30
PS8769007,26100,Refrigerator would not run but interior light was on.,"I unplugged the refrigerator, then opened the door and removed four screws holding the plastic electrical panel to the interior top of the main refrigerator compartment and noticed the cold control was corroded badly, apparently from moisture in the panel. I ordered a new one from partselect.com. When it arrived the next day, I then pul","Bruce from Alton, IL",Really Easy,Less than 15 mins,184,243
PS469510,98853,Inconsistent freezer temp and freezer defrost issues,"Used the symptoms list, ordered the corresponding parts and watched the videos. Great company! I'll be sharing this site.","RUSSELL from MALDEN, IL",Very Easy,1- 2 hours,1,1
PS469510,97853,Freezer compartment works but gets frost and ice buildup. Then the refrigerator compartment fails to get cold. Milk would spoil but freezer stayed frozen.,After watching numerous YouTube videos I realized that my problem was either the timer or the thermostat. I purchased both for above $70 total and decided it was worth the gamble to self- repair it instead of buying a new refrigerator for $700 plus taxes and delivery charges. The videos were right on with excellent directions for replacin,"Tracy from SALOME, AZ",Really Easy,1- 2 hours,4,4
PS469510,96139,Freezer was not defrosting,"Turned off fridge circuit breaker
Removed all food from freezer and put in cooler.
Removed shelves from freezer
Removed ice maker
Removed 2 hex head screws
Tilted back evaporator cover and tried to unplug connection.
Found connection was iced over with a huge block of ice coming from water inlet to ice maker<","David from N KINGSTOWN, RI",A Bit Difficult,More than 2 hours,4,4
PS469510,93820,Top cools bottom is weak,"Unplug, remove 2 screws off back panel inside the freezer. Cut wires on old one and crimped in new one. Light to melt the shrink wrap that came with it. Pretty easy.","JUSTIN from NEW BRAUNFELS, TX",Very Easy,15 - 30 mins,3,3
PS469510,90048,Refrigerator evaporator coil was icing up,"The evaporator coil is behind the freezer. Remove the rack that makes the shelf and remove two 1/4” hex head screws I the back of the freezer to access the coil.
I used a hair dryer to melt the ice off the coil.
The thermostat clips on the refrigeration pipe to the coil. Remove the old thermostat and cut the wires at least a fe","David from VENICE, FL",Easy,15 - 30 mins,1,2
PS469510,89241,"Freezer seemed ok, though frosty, but the bottom section was not cold enough, and the compressor seemed to run constantly.","The lower compartment was hovering around 50 degrees. Logic told me that cold air was not being driven from the freezer to the lower compartment. At first, I found the passageway between freezer and lower compartment was blocked with frost/ice, which could have been the entire problem. But why was that ice accumulated there? After def","Gary from GRASS VALLEY, CA",Easy,15 - 30 mins,19,20
PS469510,87798,The refrigerator wasn't getting cold the freezer was getting to cold,Followed the installation instruction for both parts now both the freezer and refrigerator are getting cold,"eddie from CHICAGO, IL",Really Easy,15 - 30 mins,2,3
PS469510,87461,Freezer was frosting up and refrigerator was not getting cold.,All 3 parts were very easy to replace. Thawing out the freezer took the most time. Great videos that go with each part for installation. I will be purchasing again from this company when needed.,"Curt from MULBERRY, IN",Really Easy,30 - 60 mins,2,7
PS469510,87224,Freezer froze up/ Fridge ran warm,"Thawed out freezer, I recommend laying a couple old towels in freezer to soak up melted ice. Replaced old thermostat with new part. Removed 2 screws, removed back plate, unplugged 2 connectors and cut 2 wires. Crimped in new thermostat and repositioned to original part location. Reconnected plugs as I reinstalled back plate. Installed 2 s","will from bushnell, IL",Very Easy,Less than 15 mins,2,2
PS469510,87121,"Refrigerator not working, freezer working","I initially replaced the defrost timer, and later replaced it and the defrost thermostat. The defrost thermostat was the faulty component","Stephen from VAN WERT, OH",Easy,30 - 60 mins,2,2
PS6448122,97919,Refrigerator not cooling,"I took out the plate that covers the evaporator in the freezer with 3/8 nut driver. I removed the clips holding on the fan cover and used the pliers to take the fan off the old motor. I then took the old motor out, affixed the fan to the new motor and replaced the motor and fan assembly. I reassembled the entire fan assembly and reinstal","Edward from LIVONIA, MI",Easy,15 - 30 mins,3,4
PS12347981,95505,Meat drawer shelf was broke,"Removed the main top glass shelf from the fridge,slide meat drawer shelf into the side of the glass main shelf.Thats it,you can then install your meat drawer into the new meat shelf bracket.","LONNIE from SPOTSYLVANIA, VA",Really Easy,Less than 15 mins,2,3
PS12347981,88882,Ordered new crisper pin for refrigerator,After finally getting the wright parts sent to me I took out old bin added the parts to the new bin slid it in and I’m done.,"Kent from OVIEDO, FL",Really Easy,Less than 15 mins,2,2
PS12348389,95505,Meat drawer shelf was broke,"Removed the main top glass shelf from the fridge,slide meat drawer shelf into the side of the glass main shelf.Thats it,you can then install your meat drawer into the new meat shelf bracket.","LONNIE from SPOTSYLVANIA, VA",Really Easy,Less than 15 mins,2,3
PS11755335,86778,Raise side of fridge and slide 2x4 under side with broken wheel.,Remove back side cardboard access cover. About 6 dcrews need to be removed. Remove 9/16” bolt and lower compressor tray frame down to slide out wheel axel. Place wheel in slot and replace axel. Lift compressor tray and replace 9/16” bolt. Replace cardboard cover. Remove 2x4.,"Hans from OGDEN, UT",Really Easy,Less than 15 mins,5,6
PS11738235,36087,broken front wheel,"remove front grill. with pry bar and wooden block, elevate side with broken wheel and insert wooden block behind assemble from the exterior bottom. With roller wheel assemble lose from the wooden block remove front elevator screw from the front frame. next remove cotter pin with the pliers and pull assemble pin. next elevate assemble out.","Robert from Orting, WA",Difficult,Less than 15 mins,7,10
PS11738235,30622,Left front plastic wheel was broken,"Pop loose the plastic grate at the bottom.

Locate and remove the wheel leveling screw from the front bottom corner.

Remove cotter pin from the pin that mounts the wheel assembly to the refrigerator. Tap out the mounting pin.

Lift out the wheel assembly.

Remove the Roller pin from the wheel asse","mike from holly springs, NC",Really Easy,30 - 60 mins,12,16
PS11738235,29494,broken roller,"proped up frig, loosened screws, cut pin, installed rooler w/ new pin, rounded pin end, reistalled, lowered frig...everyone happy, thanks again partselect.","John from Capac, MI",Really Easy,15 - 30 mins,4,4
PS11738235,21602,The plastic wheel broke in half at the right front of the refrigerator.,The good news is that the part (the wheel was available.) I bought two in the event that the other wheel may break in the future. The bad news is that the housing that holds the wheel was riveted together by the wheel axle. It would have been nice to know that before I bought the part and if the housing with the wheel installed was ava,"Ralph from Camillus, NY",A Bit Difficult,30 - 60 mins,7,8
PS11738235,14277,Ice maker was over flowing filling the freezer with water and ice.,"As per suggestion I replaced the water inlet valve.
I pulled out the refrigerator and removed the cardboard panel. I removed the water inlet unit by removing two screws. I used pliers to take off the the tubes to the ice maker and the water. Then removed the inlet supply tube. Installation was the reverse process.

Howe","William from Lone Tree, IA",Difficult,1- 2 hours,3,3
PS11752093,97941,Wrong shelf,"I ordered the wrong shelf. Width was correct but the Depth was not. Started the return process and I'm seeing its still processing. This is since 2/28/2024. 3 Weeks ago. On that same day I ordered what I hope is the correct one, but still haven't received it. Fingers crossed something happens soon.","Robert from MANAHAWKIN, NJ",Very Difficult,Less than 15 mins,2,2
PS11752093,95940,fridge door bin came of and broke as I was getting out a gallon of milk,Pushed it in just as the old one came off and broke. Took 10 seconds. Push and play!!!!,"JAMES from WORCESTER, MA",Very Easy,Less than 15 mins,1,1
PS11752093,93454,Broken door shelve,Put the new one in place of broken/cracked one,"Geraldine from FREMONT, CA",Very Easy,30 - 60 mins,1,2
PS11752093,39232,Refrigerator came with can holder in door,The can holder was worthless for our family. I lifted out the bin and replaced it with the new bin that can hold gallons of milk.,"Kathleen from Oxford, MS",Really Easy,Less than 15 mins,15,18
PS11752093,38456,refrigerator came with can/holder in door,"i did not need the can holder in door, we do not buy can drinks. i would rather have the full shelf space, so i replaaced the can holder with a full shelf","CAROLYN from SPARTANBURG, SC",Really Easy,Less than 15 mins,27,31
PS11752093,37375,Refrigerator and freezer stopped cooling,"Disconnected the old part and reconnected the new part. We only needed tools to remove the panel on the outside of the refrigerator to get to the part. Since we ordered the part to fix the refrigerator, we replaced the refrigerator door bins that had cracked.","Laurie from Wilmington, DE",Easy,Less than 15 mins,1,2
PS11752093,36713,change in door bin,replaced a door bin very fast,"Nancy from Bartlett, IL",Really Easy,Less than 15 mins,2,3
PS11752093,35611,door bin cracked,The door bin cracked. I ordered a new one and slid it into the old bins slots.,"Alice M from Prospect Heights, IL",Really Easy,Less than 15 mins,1,2
PS11752093,34040,The door bin on a friend's refrigerator had a crack in it that quickly grew to a much bigger crack.,You just take the old door bin out by sliding it up and replace with the new bin by sliding it down in the door.,"Janet from Bend, OR",Really Easy,Less than 15 mins,6,8
PS11752093,16822,new refrigirator / useless pop can dispenser,"I just had to exchange the bucket, right part the first time.","Louis from Taylor, MI",Really Easy,30 - 60 mins,15,20
PS12712124,91346,Bin door broken,"Was not able to do the replacement because the part that was sent was broke. Tried to call multiple times and the recording said that you were not able to talk to human beings. I was able to get a refund approved, but did not get instruction on how to return the broken part.","Keith from ANKENY, IA",Very Easy,Less than 15 mins,2,3
PS11739228,88763,Bottom drawer was broken and a shelf stud was broken off. Replace both parts,"Took off upper shelf and glass, removed the screw. Install new shelf stud. Reinstalled glass and shelf. Just swapped out the bottom shelf and contents into new one. Had previously cleaned up the entire fridge when I ordered parts. Looking and operates great.","SHECKY from LAFAYETTE, LA",Really Easy,Less than 15 mins,2,2
PS11739228,29260,None,My husband had no problem doing the repairs they were very easy and the customer service and quick delivery were just awesome!,"Gina from Las Vegas, NV",Really Easy,15 - 30 mins,6,20
PS1526418,40550,The paddle that dispenses water snapped,"The part was easy to find on the site, instructions were right on and it only took 25 minutes to accomplish with just a screw driver and a pair of pliers.","Armando from Cumming, GA",Really Easy,15 - 30 mins,7,9
PS1526418,38648,Broken actuator,Read the other stories which were really helpful. It is a fairly simple project as long as you don't disconnect the water line as others said. I had a somewhat difficult time getting the ears of the actuator in the slots but eventually went right in.,"Alan from Tucson, AZ",Easy,30 - 60 mins,0,1
PS1526418,38438,Actuator broken,"Unplug the refrigerator, and pull it out of its place.
1) Push out the drip tray.
2) Remove three bottom screws from cover.
3) Unclip top part of cover, and pull it out. Be careful with the ribbon from the ribbon harness connected to the power board. Use scotch tape to secure to back of cover.
4)Remove three screws fro","Nes from San Jacinto, CA",A Bit Difficult,30 - 60 mins,1,2
PS1526418,37877,Broken Actuator,"Followed other listed do's and don't. Removed the assembly from the door, which made changeing the actuator easy. The hard part was getting the hose back in. My son came up with the idea of while one person holds the assembly in place while the other inserts a rod which we used a drill of a size that could be inserted backwards from th","James from Lakeville, MA",A Bit Difficult,30 - 60 mins,0,1
PS1526418,36716,Replaced a broken water actuator lever,Removed the face cover. Very important to pull it out from the bottom first and then slide upward. I broke the two small hooks on the top that help hold the face plate nice and flush to the refrigerator door. Replacing the lever was fairly easy but getting the hose back into to recepticle hole was a challange. After a few attempts I r,"William from Oxford, MI",Easy,30 - 60 mins,0,1
PS1526418,36645,actuator was easy to install. the problem was reconnecting the water supply line to the frame. a friend with small hands was a great help.,"removed water tray then pushed up on face cover, three screws on bottom of frame allowed removal by tilting down and gently pulling unit out,being careful not to pull ribbon strip out of face plate. you then could see the two screws covering the acuator pivot pins, remove them and unplug actuator from board. install new actuator and plug","Rosemary from Palm Beach Shores, FL",A Bit Difficult,30 - 60 mins,1,2
PS1526418,36298,Water dispenser actuator broke,"Followed instructions on the website. Only difference is I did remove the water tube because I found it easier to fix the problem. Replacing the tube was a little tricky, but I shoved an inch or so more tubing from the bottom of the freezer door and that was enough to make the job much easier. I also used some string to pull the wire thr","Robert from Kingwood, TX",Really Easy,30 - 60 mins,0,1
PS1526418,33207,Broken water dispenser,"I can't believe how easy it was to repair the broken part on the fridge. It was broken for two month, until I decided to look into ordering the part, that led into checking out to see if I could do it myself. I didn't ask my husband for help (well I hardly do). I'm a handy woman.

Thanks for the great service. I had the part","Adriez from Granada Hills, CA",Really Easy,15 - 30 mins,0,2
PS1526418,32935,broken water despensing tab,"I felt that a beginner could make a repair of this nature. The part arrived in 2 days.
I will use PartSelect on all of my future repairs.","GARY from BONITA SPRINGS, FL",Really Easy,15 - 30 mins,0,1
PS1526418,29614,broken water dispenser actuator,"Just followed the instructions on your site. Remove the water tray, bezel and face plate (being careful with the wires) unscrewed the tab holding the actuator in removed it and slipped the new one in place.","robert from la Plata, MD",Really Easy,15 - 30 mins,0,2
PS1526426,93555,ice maker wouldn; dinspense ice',removed ice denspenser and replaced spring and flap',"Charles from JACKSONVILLE, FL",Really Easy,30 - 60 mins,3,3
PS1526426,92858,Part 30 on the Ice and water dispenser drawing was broken and needed to be replaced in order to seal the ice chute opening into the freezer.,"Followed the video for this repair. Only issue was that the videos showed that when the front panel is removed, there is a wire harness that has to be unplugged from part No. 38c. This was not the case. What I had was a Ribbon Cable Harness that plugged into the front of part No. 38 and the top of part 38C (the two power boards) I tried","Jon from SEBRING, FL",Easy,30 - 60 mins,2,2
PS1526426,37080,The ice chute door didn't close all the timed,The door has nylon gear teeth that wore out and needed replaced. The ice chute came off very easy with 6 screws. I used a punch and pliers to remove the hinge pin. Then the door came off and the new one put on. Very easy. The part was ordered on Sunday and arrived on Tuesday.,"Shelby from Clinton, IL",Easy,30 - 60 mins,39,73
PS1526419,36366,inserting water line back through,"I followed the other postings and the only trouble I had was re-inserting the water line tube...like everyone else. After trying several kinds of tape to wrap around and pull the line through the small opening packaging tape did it the first try. Wrap it on an angle and leave yourself a nice long ""tail"" to pull.","Jeffrey from Tampa, FL",Easy,30 - 60 mins,12,14
PS1526419,31385,Broken Water Dispenser,"I unscrewed the water dispenser and removed the broken piece. Take your time, it is only about 8 screw that need to come out to reach the area for the new part. The only tricky thing about the fix is a spring behind the part. Make sure its lined up, and you should be good to go. Good luck – take your time.","Scott from Fond du Lac, WI",Easy,15 - 30 mins,4,4
PS1526419,23942,Broken water dispenser lever,Remove screws under tray and trim piece. Lift up and remove face plate. Disconnect flat bundled wires and tape off. Remove ground wires. Remove face plate. Remove dispenser assembly. Remove and replace actuator. Reassemble.,"Joseph from Newfoundland, NJ",Really Easy,15 - 30 mins,3,5
PS1526419,23897,Plastic water actuator snapped in two.,"1. Removed exposed screws
2. Removed face plate
3. Disconected wire from switches on face plate
4. Removed screws holding ice/water dispenser
5. Removed screws holding actuator in place
6. Removed wireconnection on actuator (lighted)
7. Replaced broken actuator w/new
8. Replaced all parts in reverse ord","Alexander from Santa Monica, CA",Easy,15 - 30 mins,8,10
PS1526419,13759,Thru-the-door water actuator (paddle) broken,"1) - removed the water tray.
2) - removed the three (3) screws hidden by water tray.
3) - removed entire dispenser faceplate by carefully sliding it up, and then pulling it out
CAUTION: there is a ribbon wire connector between the faceplate and the dispenser unit; carefully disconnect.
4) - removed screws retaining the","Richard from Memphis, TN",A Bit Difficult,15 - 30 mins,39,44
PS430211,82411,Crisper Drawer in Fridge was cracked,Ordered a new one and simply slid it into place,"Linda from INVERNESS, IL",Really Easy,Less than 15 mins,3,3
PS430211,6780,I slammed the door on the pan severely cracking it.,All I did was to take out the cracked pan and slide in the new one.Excellent service.I ordered the pan late evening one day the part arrrived not the next day but the day after.I expected that it would have taken a week or better.I recommend Part Select.com because of this.,"Thomas from Farmingdale, NY",Really Easy,Less than 15 mins,20,29
PS648784,89825,Broken upper crisper pan cover,Removed old broken pan cover and replaced with new pan cover..,"Milton from HIGH POINT, NC",Very Easy,Less than 15 mins,3,4
PS648784,23619,The 2 year old used the 2 bottom trays as a step stool,"Repair was pretty straight forward. The Plastic around the glass cover of the crisper pan all broke where the stud holds it up. Replaced both of the plastic covers.

The broken support stud was a bit of a pain, you have to use a long nose pliers to try and pull the middle stud that locks everything in place. Forcing the e","Richard from Goodyear, AZ",Really Easy,Less than 15 mins,43,52
PS11750673,99160,Freezer was icing up and leaking. Refrigerator side would not keep cold.,"We emptied out both sides, refrigerator and freezer, and followed the instructions in your video. We turned it off and disconnected the power. We took off the freezer door first. It made it much easier to get the shelves out and reach way back into the freezer. We removed the light and cover, then the ice auger motor. The back panel wa","Camille from Glen Ellyn, IL",Easy,More than 2 hours,1,1
PS11750673,96211,Refrigerator No Longer Cooling Properly,"Approximately:

1. Unplugged refrigerator.
2. Emptied Freezer.
3. Removed Ice Maker.
4. Waited a few hours for ice to melt around back panel & nuts.
5. Removed back panel and the cover over fan and fan motor.
6. Waited many more hours for ice to thaw over fins, wiring, etc.
7. Easily replaced the bi","Elizabeth from DELRAY BEACH, FL",A Bit Difficult,More than 2 hours,10,10
PS11750673,95823,"Fridge constantly cycling off/on, beeping","Bi-metal defrost thermostat tested bad, so replaced. To remove back freezer panel on this model, remove top left and right shelf pegs (use a screw driver). This will let back freezer panel slide up and out.

Control board, located in metal box above the inverter board had a bad 200uF electrolytic capacitor (bulging top) and 12v","Joe from PALO ALTO, CA",Easy,30 - 60 mins,5,5
PS11750673,95733,Part went bad the freezer was freezing up and refrigerator not getting cold,I pulled off the panel covering the part in the freezer cut and stripped the wires. Used crimper and connectors put the new part on put the wires band panel back on and plugged the refrigerator back in. Everything works just fine now.,"Jessica from WILLIAMSBURG, VA",Really Easy,15 - 30 mins,2,2
PS11750673,94065,Top half of freezer & fridge were not cooling. Freezer fan had been making unusually loud noises.,"Piece of cake. It took me longer to remove the food from the freezer, remove shelves and back panel than to do the repair. I heard the fan making some noises so I replaced both the fan and defrost thermostat. I used the instructions submitted by a another customer. My 20+ year old fridge is like new now.","rich from PEMBROKE PNES, FL",Really Easy,30 - 60 mins,2,2
PS11750673,93444,Freezer No Longer Cools,"Our spare 25+ year old Kitchenaid refrigerator (side-by-side model) refused to produce cold air. I could hear mechanical sounds and things ""clicking"", but the temps kept raising. This specific unit only had cooling coils in the freezer, and some ducts that route cold air into the fridge.

I emptied the refrigerator completely,","STEPHEN from FENTON, MO",A Bit Difficult,1- 2 hours,5,6
PS11750673,93126,Refrigerator runs warm/ freezer running cold.,"I spent several hours defrosting the unit. Making sure the vents were all defrosted and free of ice. The part replacement is fairly straight forward; remove the thermostat, cut two wires, reconnect the wires following color codes, attach to coil and restart. And, ""Yippie!"". Nothing. Zilch. Zero. Because I could not connect with the online","Daniel R from CONCRETE, WA",Really Easy,More than 2 hours,1,5
PS11750673,93061,refrigerator not freeze,"i didn't repair replace capacitor, bi metal defrost thermostat and still not freeze also replace light door switch any suggestion thanks","edgar from PAWTUCKET, RI",Really Easy,30 - 60 mins,2,3
PS11750673,92721,Fridge won't start,"When you plug in the fridge it will begin to make noise, but never get cool. When you open the door it will stop and will not turn back on.

RELAY-STRT (PS11770133) is listed as one that can fix the problem, but the installation video does not match my fridge.

I've replaced the capacitor (PS11757023), the compressor","Justin from BROOKLYN, NY",Very Difficult,30 - 60 mins,4,4
PS11750673,92280,freezer section freezing up ( not defrosting ),"ordered the parts ,defrost timer and bi-metal thermostat,assumed it would be more practical to replace both than take a chance . watched a video on how to disassemble the control panel and remove the the timer and the back panel of freezer for the bi-metal thermostat,very clear instructions provided .took about 25 minutes to replace both","John from COLUMBIA, LA",Really Easy,15 - 30 mins,3,4
PS11739232,93522,Very easy to follow.,I just did what the instructions outlined and the job was done fast.,"Ronald from MONROE TWP, NJ",Really Easy,30 - 60 mins,3,5
PS11739232,91318,fridge and freezer stopped maintaining proper temp,I followed the repair videos that were provided by partselect and installed a bi-metal defrost thermostat in the freezer and a thermostat assembly in the fridge. The installation was not hard and everything is now working as it should. Thanks,"Donald from CONWAY SPGS, KS",Easy,30 - 60 mins,3,3
PS11739232,86019,Refrigerator would not stay cold and freezer would thaw.,I watched the repair video and did exactly as described. Excellent video and step by step instructions. Follow them and you cannot go wrong.,"Michael from SYLVA, NC",Easy,30 - 60 mins,3,4
PS11739232,85901,Thermostat didn't work as suppose to be,I follow the video From The Tech Guy ( Gentleman ). Thank you... Best Regards .Fco,"Francisco from KENNETH CITY, FL",Really Easy,30 - 60 mins,2,2
PS11739232,85672,"Refrigerator would run, then stop on it's own would start again if I would change the temp setting on refrigerator",just as the installation video show (very helpful) however the sheath tube that was pulled off of the old capillary tube did not go back on the new tube near as easy as the video showed. Got it on however and refrigerator is working like a champ now,"Duane from CASA GRANDE, AZ",Easy,30 - 60 mins,2,2
PS11739232,85523,Thermostat stopped working. Only cooled at highest setting.,Repair video was excellent but thermostat unit was slightly different then original. Fortunately guessed right regarding connections. Also very difficult to place the insulating plastic on wiring. Not very smooth. Also removing panel was different then in video. Needed to remove the panel to reveal two screws underneath that need to,"stefan from BLOOMINGBURG, NY",A Bit Difficult,30 - 60 mins,1,1
PS11739232,85293,Freezer would stop operation either during defrost cycle or normal operation and would intermittently start after the fridge thawed out.,"I took apart the thermostatic switch and cleaned the contacts (noticed carbon or corrosion dust beneath the switch). I installed the old switch back in the fridge until new switch arrived. This seemed to solve the problem. I ordered a new thermostatic switch and a new defrost timer since these two items if defective, cause similar sympt","Jeffrey from HOLLYWOOD, MD",Easy,30 - 60 mins,3,3
PS11739232,85092,"The unit would run fine, cool to set temp. then warm up and not restart. Used your trouble shooter and it recomended replacing the capacitor.",Replaced the capacitor per your video. Tested and the problem persisted. Next replaced the thermostat per your video. Tested and the unit functions properly. The challenge was the connector locations on the new thermostat were different than the original. Front and back instead of top and bottom. I could not find an answer for wire instal,"Ricky from PALOUSE, WA",Really Easy,30 - 60 mins,1,1
PS11739232,84834,needed termastat,your video made it very easy...Thank You,"Milton from NEW YORK, NY",Really Easy,30 - 60 mins,1,1
PS11739232,84462,Freezer would go from zero to 55 degrees. Ruined all my food.,Followed instructions in video.,"William from CARROLLTON, GA",Really Easy,30 - 60 mins,1,1
PS11755844,95590,Wasn't getting or staying cold enough,Watched the installation video and was able to make repair easily,"Christopher from CASTAIC, CA",Really Easy,15 - 30 mins,1,1
PS11755844,41865,thermostat swicth,change it,"lonnie from defiance, OH",Really Easy,Less than 15 mins,37,56
PS11739602,96731,The freezer would not stay cold enough to freeze,"Part Select made it so easy, they told me to download the video I did and I had it fixed within 15 minutes. Part Select is awesome, they helped me diagnose it and told me what part I needed. I will definitely use them again, and I highly recommend them.","Karen from HONESDALE, PA",Very Easy,Less than 15 mins,1,1
PS11739602,94234,Refrigerator would not cycle on or off,Unplug pwr cord ..then chk voltage on refrigerator...go inside refrigerator to upper unit where light is and lower unit dwn bye removing the screw then look for thermostat it's right inside ..remove to 3 wires then install new thermostat the same way....plug unit in to power rotate thermostat cooling setting and listen for compressor to t,"Bob from LUDLOW, MA",Easy,1- 2 hours,3,3
PS11739602,80997,Motor on ? off,Easy,"gary from SPRING, TX",Really Easy,30 - 60 mins,2,2
PS11739602,35941,refrigerator not always cooling,"After discovering I could give the thermostat box a rap with my hand and get it to start the fridge I got online at your site and found others were doing the same, before replacing the thermostat. I ordered the part from you and received it the next day! I used a long neck nut driver to remove the one screw holding the thermo box in place","James from East Greenwich, RI",Easy,15 - 30 mins,11,13
