appliance_type,symptom,part_type,instructions,part_category_url
refrigerator,Light not working,Door Light Switch,"The interior light of your refrigerator is controlled by a switch that is activated when the door is opened and closed. If this switch malfunctions the light might not turn on consistently, if at all.

How to test a refrigerator door light switch with a multi-meter:

- Unplug your refrigerator and locate your door light switch. The location of the switch varies depending on the model of your refrigerator, but it is usually located somewhere near the top of the door opening. The switch is often mounted into the interior plastic liner and care should be taken when removing it to prevent damage to the liner.

- Remove the switch in order to test it.

- Set your multi-meter to the Rx1 setting to test the switch for continuity and place the probes on the switch’s terminals. The multi-meter reading should change from infinity to a reading of zero. Keep the leads touching the terminals and press in on the switch. The reading should change back to infinity.

- If the results you receive are not consistent with these results, you need a replacement door switch.",https://www.partselect.com/Repair/Refrigerator/Light-Not-Working/#DoorLight
refrigerator,Light not working,Light Bulb & Ice Dispenser,"If your model has an ice and water dispenser with a light bulb you should first verify that the bulb is good. These lights are normally low wattage and are not designed to be used as night lights. Extended periods of usage will typically cause premature failure of the bulb or damage to the socket. Most models will have an on/off switch on the control panel and that may be defective. You can check the switch for continuity with a multi-meter. The lamp or bulb socket may also be defective and the control plate will need to be removed for inspection.

How to test a refrigerator ice dispenser light on/off switch:

- Disconnect your refrigerator from the power source before beginning.

- Locate and remove your control panel cover to access the on/off switch.

- Remove the on/off switch from the appliance in order to test it.

- Set your multi-meter to the Rx1 setting and place the probes on the switch’s terminals. You should receive a reading of zero. With the probes still on the terminals press in on the switch, the reading should change to infinity.

- If your tests produce results different from those above, you will need a replacement dispenser door switch.",https://www.partselect.com/Repair/Refrigerator/Light-Not-Working/#LightBulbAnd
refrigerator,Fridge too cold,Air Inlet Damper Or Baffle,"The air damper, baffle or diffuser is the device that balances the air flow from the evaporator fan housing. This normally is a mechanically controlled baffle or flapper that controls the amount of cold air entering the fresh food compartment. If the baffle is damaged or the linkage to the control knob is damaged, then too much cold air may enter the fresh food compartment resulting in lower than normal temperatures. The baffle or damper will be located where the cold air enters the fresh food compartment. The housing that the baffle or damper is encased in is often made of plastic with a Styrofoam lining and may have a foam seal to prevent air leakage.

How to inspect a refrigerator’s air inlet damper or baffle:

- Unplug your refrigerator and locate the damper or baffle. It is usually found where the cold air enters the fresh food compartment.

- Use caution when inspecting the baffle or damper to not damage the plastic & Styrofoam housing that the baffle or damper is encased in.
- If your model of has a temperature sensing bulb attached to this control make sure that the sensing bulb is in the correct position and not damaged.

- The control knob should move freely, try to move it to verify that the linkage is intact and that it moves freely.

- If the damper/baffle is stuck in the closed or nearly closed position or does not move freely, then you need a replacement air inlet damper or baffle.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Too-Cold/#AirInletDamper
refrigerator,Fridge too cold,Temperature Sensor Or Thermistor,"Some electronic controls models will use a thermistor to sense the temperature. The electronic control monitors this temperature and will automatically adjust the damper. The temperature sensor is normally a plastic encased capsule with two wires attached and may be located near the air inlet. The thermistor will have a specific resistance based on temperature and is therefore difficult to diagnose without the manufacturer’s specifications. Some models may indicate a fault code when the sensor is faulty.

How to test a refrigerator temperature sensor or thermistor with a multi-meter:

- Verify that you have disconnected your appliance from the power source as you will be inspecting electrical components.

- The thermistor(s) will be connected to the main control board, you will need to remove the back panel of your fridge to access the control board. Remove the thermistor(s) from the appliance in order to test them.

- Thermistor(s) will produce different multi-meter readings based on their temperature when you test them. The ranges below only apply to thermistors at 32 degrees F. Before testing them, you will need to place the thermistor(s) in ice water for 5 minutes to bring the temperature to 32 degrees F.

- Set your multi-meter to the Rx1 setting and touch the probes to the terminals, you should receive a reading of 16,600 ohms (+/- 5 percent).

- If you receive a reading outside this range, you will need a replacement temperature sensor or thermistor.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Too-Cold/#TemperatureSensorOr
refrigerator,Fridge too cold,Main Control Board,"Some newer models may have an electronic control board that controls all of the refrigerators functions. Sensors are connected to the board that monitor fresh food and freezer compartment temperatures and the control board will use that information to operate the compressor and fans as well as the defrost system and in some cases the air baffle/damper to balance temperatures. A defective control board could cause a symptom of the fresh food compartment being too cold, but you should first eliminate the sensors and the damper before changing the control. Some manufacturers may provide detailed information on the procedure for testing the board and the sensors.

How to inspect a refrigerator’s main control board:

- Disconnect your refrigerator from the power source, you will be inspecting electrical components.

- The main control board is usually found inside the control box, which is inside the fridge, attached to the top or side of the fridge. Locate and remove the main control board from your appliance.

- Looking for any signs of damaged foil, wear, burnt connections, arcing, or any other damage, inspect your main control board.

- If you find any of the above, you need a replacement main control board.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Too-Cold/#MainControl
refrigerator,Fridge too cold,Cold Control Or Temperature Control,"The cold control thermostat monitors the temperature inside the refrigerator and will operate the compressor and fans when the temperature rises. The control is often labeled as the refrigerator control but in some models may be called the freezer control. The control will have wires attached to it that operate the compressor circuit and will normally have an ""off"" setting on the knob. If the control is defective it may create a symptom of the fresh food section being too cold but would also lower the temperature in the freezer compartment as well, and the compressor would run longer than normal. Try adjusting both controls starting at the middle settings and monitor the temperatures for 24 hours before making any further adjustments.

How to test your fridge’s cold control & temperature control with a multi-meter:

- You will be handling electrical components, ensure you have disconnected the power source from your appliance before beginning. Begin by locating your control, it will be inside the fridge, usually in the fresh food section control panel, likely located directly behind the temperature adjustment knob.

- After locating it, remove the control from the fridge, set the control to the lowest (warmest) setting, place your multi-meter on the Rx1 setting, and touch the probes to the terminals to test for continuity. You should receive a reading of infinity.

- While still touching the terminals with the probes, change the control to a colder (higher) setting. This should change the reading from infinity to zero.

- If your control fails either of the tests above, you will need a replacement cold control & temperature control.",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Too-Cold/#ColdControlOr
refrigerator,Fridge runs too long,Defrost Timer,"The defrost timer can be either a mechanical timer or an electronic ""adaptive defrost control"". Both are used to initiate the defrost cycle by turning on the defrost heater at specific intervals and for a specific amount of time. Mechanical timers are more common and usually activate a defrost cycle every 8-10 hours of compressor run time. This normally occurs about once every day or two. The defrost cycle will normally terminate after 20 to 30 minutes and the compressor and fans will start again. Adaptive defrost controls will monitor ambient conditions and previous defrost cycles and adapt the defrost cycle frequency and length to be more efficient.

How to test a refrigerator defrost timer with a multi-meter:

- Unplug your refrigerator before beginning.

- Locate & remove the defrost timer from the appliance in order to test it. It can be found behind the refrigerator's lower kickplate, in the refrigerator's control panel, or even behind the refrigerator on its back wall.

- Set your multi-meter to the Rx1 setting and touch one probe to the common terminal (it should be labeled ""3"" or ""C""). One at a time, touch the other lead to the other three remaining terminals. Testing the first pair should produce a reading of zero, or near zero, denoting continuity. The second pair may also result in a reading of zero or near zero. Testing the third pair of terminals should produce a reading of infinity.

- If you receive different readings, you will need a replacement defrost timer.",https://www.partselect.com/Repair/Refrigerator/Running-Too-Long/#DefrostTimer
refrigerator,Fridge runs too long,Defrost Heater,"The defrost heater is controlled by the defrost timer or adaptive defrost control and the defrost termination thermostat. The heater is normally a glass encased heater wire with well insulated wire leads.

How to test a refrigerator defrost heater with a multi-meter:

- Unplug your refrigerator before starting, you will be inspecting electrical components.

- Remove your defrost heater. Defrost heaters are commonly located beneath a refrigerator's evaporator coils. You will have to remove any objects that are in your way such as shelves, icemaker parts, and the inside rear, back, or bottom panel(s). The defrost heater will have two wires connected to it, carefully grasp the metal connectors to remove them, do not pull the wires themselves.

- With your multi-meter set onto Rx1 mode, place the probes onto the terminals of the defrost heater. You are testing for continuity and you should receive a reading between zero and infinity.

- If you receive a reading of zero or infinity, you will need a replacement defrost heater.",https://www.partselect.com/Repair/Refrigerator/Running-Too-Long/#DefrostHeater
refrigerator,Fridge runs too long,Defrost Termination Thermostat,"The defrost termination thermostat is used as a safety device to turn off the defrost heater when the temperature reaches a specific limit. The thermostat is normally wired in series with the defrost element and is normally open circuit above 35°- 47° Fahrenheit. For this reason it is sometimes difficult to check the continuity of the thermostat unless you are sure that the temperature is low enough to close the circuit. Newer style thermostats may have an internal bias resistor to aid in testing both the thermostat and the heater. The wiring diagram will normally indicate this.

How to test a refrigerator’s defrost thermostat with a multi-meter:

- Because you will be testing electrical components, ensure you have disconnected your appliance from the power source before beginning. 

- Locate and remove the defrost thermostat in order to test it. In freezer-on-top models, it may be located under the floor of the unit, or it could be found at the back of the freezer. If you have a side-by-side refrigerator, the defrost thermostat is found at the back of the freezer side. You will have to remove any objects that are in your way, such as the contents of the freezer, freezer shelves, icemaker parts, and the inside rear, back, or bottom panel.

- With your multi-meter on the Rx1 setting, touch the probes to a thermostat wire. When your thermostat is cold, it should produce a reading of zero on your multi-meter. If it is warm (anywhere from forty to ninety degrees Fahrenheit), then this test should produce a reading of infinity.

- If your tests produce different results, then you will need a replacement defrost thermostat.",https://www.partselect.com/Repair/Refrigerator/Running-Too-Long/#DefrostTermination
refrigerator,Fridge runs too long,Fresh & Freezer Door Gaskets,"Leaky or damaged door seals can create long run times but normally will just create excess moisture that is visible near the air outlet ducts or on shelves in the freezer. Moisture along the edge of the door is also a good indication that the gaskets are not sealing properly and should be replaced.

How to inspect refrigerator door gaskets:

- At various points around the fridge, place a piece of paper on the seal and close the door normally.

- With the door closed, slide the paper out.

- If you can slide the paper out without any resistance, then you will need a replacement fresh food & freezer door gasket(s).",https://www.partselect.com/Repair/Refrigerator/Running-Too-Long/#FreshAndFreezer
refrigerator,Fridge runs too long,Condenser Fan Motor,"If your fridge sounds like it’s running more often than normal, the condenser fan motor could be to blame. If the condenser cannot expel heat efficiently, then the compressor and sealed system work harder to keep the refrigerator cold. Check for higher than normal surface temperatures on the cabinet between the fresh food and freezer doors as this area contains tubing attached to the condenser and will heat up if the condenser cannot be cooled fast enough.

How to inspect a refrigerator condenser fan motor:

- Before beginning, ensure that you have disconnected your appliance from the power source, and then locate the condenser fan motor. You will need to remove the rear access panel to find it, it should be near the compressor.

- If the fan motor is seized or worn, you will need a replacement condenser fan motor.",https://www.partselect.com/Repair/Refrigerator/Running-Too-Long/#CondenserFan
refrigerator,Fridge runs too long,Evaporator Fan Motor,"The evaporator fan is used to draw air over the evaporator coil and circulate the cold air throughout the fresh food and freezer compartments. If the evaporator fan does not work then the control thermostat or sensor may not correctly sense the temperature and the compressor will continue to run longer than normal. The fresh food and freezer compartment temperatures will increase as well.

How to inspect a refrigerator evaporator fan motor:

- Because you will be inspecting electrical components, ensure you have unplugged your appliance before beginning.

- Locate the evaporator fan motor, it will be behind the evaporator fan cover, inside the freezer compartment.

- If you notice a large amount of ice has built up on or around the motor, allow your freezer to defrost and see if that resolves the issue.

- Attempt to manually turn the motor shaft, it should turn freely with minimal resistance. You should also inspect the fan and motor for any signs of wear or damage, removing any foreign objects in the area.

- If it is noticeably worn, or if it is seized, you need a replacement evaporator fan motor.",https://www.partselect.com/Repair/Refrigerator/Running-Too-Long/#EvaporatorFan
refrigerator,Fridge runs too long,Sealed System,"The sealed system in a refrigerator is comprised of the evaporator, the condenser and the compressor and the associated tubing. A defect in any of these components can cause a symptom of running too long or not cooling enough, and would have to be tested and/or serviced by a qualified refrigeration technician as it involves live voltage tests.",https://www.partselect.com/Repair/Refrigerator/Running-Too-Long/#SealedSystem
refrigerator,Freezer too cold,Air Damper Or Freezer Control,"If the freezer section is too cold and the fresh food section temperature is normal you should suspect that the air damper or freezer control is adjusted improperly or may be defective, and is deflecting more than the normal amount of air into the freezer section and not enough into the fresh food compartment to satisfy the cold control and turn off the compressor. 

How to inspect a refrigerator’s air damper or freezer control:

- Unplug your refrigerator before beginning.

- Locate your air damper or freezer control. It will usually be found in the fresh food compartment, behind a vent found on the top or side of the fridge.

- Remove the vent and inspect the damper flap for any signs of wear or damage, attempt to manually move the flap. You should feel little or no resistance.

- If you find any issues when performing the above checks, you will need a replacement air damper or freezer control. If you do not find the issue, suspect the evaporator coils or motor.",https://www.partselect.com/Repair/Refrigerator/Freezer-Too-Cold/#AirDamperOr
refrigerator,Freezer too cold,Temperature Sensor Or Thermistor,"In models that use an Electronic Control, a thermistor or temperature sensor may be used to monitor fresh food and freezer temperatures. The control board uses this information to turn on the compressor and fan circuits as well as to operate the damper control on some models. If the sensor becomes damaged or defective it may incorrectly signal the control board to close the air damper too much and result in colder than normal freezer temperatures. Individual manufacturers may have specific information available to test these sensors, depending on the model involved, and may also provide a fault code on the electronic control board on some models.

How to test a refrigerator temperature sensor or thermistor with a multi-meter:

- Disconnect your refrigerator from the power source and then remove the back panel of your refrigerator to locate the main control board.

- Locate and remove the thermistor(s), they will be attached to the main control board.

- Place the thermistor(s) in ice water for 5 minutes before testing. The amount of resistance in a thermistor varies based on what their surface temperature is when they are measured. The range below only applies to thermistors measured at 32 degrees F.

- Using a multi-meter on Rx1 mode, touch the terminals with the meter’s probes. The test should produce a reading of 16,600 ohms (+/- 5 percent).

- If you receive a reading outside this range, you will need a replacement temperature sensor or thermistor.",https://www.partselect.com/Repair/Refrigerator/Freezer-Too-Cold/#TemperatureSensorOr
dishwasher,Noisy,Pump,"A defective pump could be the reason your dishwasher is making loud noises. The function of the pump is to pressurize the spray arms, and in most models, it is also used to drain the water. The pump sits at the bottom of the dishwasher and typically consists of two separate compartments; one for wash or circulation and the other for draining. The circulation part of the pump will typically consist of the wash impeller and the filter components while the drain portion will consist of a drain impeller and a chopper blade or in some cases, a solenoid operated diverter. The impellers are driven by an electric motor that is attached to the bottom or side of the pump.

How to test a dishwasher pump with a multimeter:

- Unplug your dishwasher before beginning this test; you will be handling electrical components.

- Remove the pump in order to test it. The pump is usually found behind the lower access panel.

- Using a multimeter on Rx1, place the probes onto the terminals to test for continuity. You should receive a reading of zero or nearly zero. To test the ground connection, with one probe still on a terminal, touch the other probe to the bare metal housing of the pump. You should not receive any reading from this test.

- If your test results do not match those above, you will need a replacement pump.",https://www.partselect.com/Repair/Dishwasher/Noisy/#Pump
dishwasher,Noisy,Wash Arm Bearing Ring & Spray Arm Seal,"If your dishwasher is noisy, the cause could be a wash arm seal or bearing ring. These parts are plastic rings that support the wash arm or the spray arm and that the arm rotates on. Either of these parts could be loose or be worn, causing the spray arm to not function properly.

How to inspect your wash arm bearing ring & spray arm seal:

- While you will not be disassembling your appliance, we still recommend unplugging your appliance before beginning.

- Locate your wash arm bearing ring & spray arm seal. They will be found attached to the spray/wash arms.

- Visually inspect them for signs of wear, cracking, or damage. You may need to remove the spray/wash arms to fully inspect them, depending on your model.

- If you find signs of the above symptoms, you will need replacement wash arm bearing rings and/or spray arm seals.",https://www.partselect.com/Repair/Dishwasher/Noisy/#WashArmBearing
dishwasher,Noisy,Spray Arms,"Water is forced through the dishwasher spray arms to spray water and detergent around the dishwasher. All dishwashers have a lower spray arm located at the bottom of the dishwasher, and some dishwashers also have middle or upper spray arms located below the top dish rack or at the top of the dishwasher tub.

How to inspect dishwasher spray arms:

- For safety, disconnect the power from your appliance before beginning.

- Manually spin your spray arms to ensure they are not hitting the racks and are turning freely. The spray arms should not be wobbly.

- Visually inspect your spray arms for any signs of wear, cracking, or damage.

- If you find any issues while performing the checks above, you will need replacement spray arms.",https://www.partselect.com/Repair/Dishwasher/Noisy/#SprayArms
dishwasher,Leaking,Pump,"A defective pump and/or pump seal may be the cause of a dishwasher leak. The function of the pump is to circulate water in the dishwasher and in some models, to drain the water as well. The pump typically consists of two separate compartments; one for wash or circulation and the other for draining. The circulation part of the pump will typically consist of the wash impeller and the filter components while the drain portion will consist of a drain impeller and a chopper blade or in some cases, a solenoid operated diverter.

How to test a dishwasher pump with a multimeter:

- Disconnect the power from your appliance before beginning.

- On most models, the pump will be found behind the lower access panel. Locate and remove your dishwasher pump in order to test it.

- To test for continuity, set your multimeter to Rx1 and touch the terminals with the probes. This test should produce a reading of exactly or nearly zero. You should also check the ground connection of the pump. To do this, leave one probe on the terminal and touch the other to the bare metal housing of the pump. This test should not produce any reading.

- If your readings differ from the results above, you will need a replacement pump.",https://www.partselect.com/Repair/Dishwasher/Leaking/#Pump
dishwasher,Leaking,Door Gasket,"If water appears to be leaking around the front of the dishwasher, the problem may be with the door gasket. The dishwasher door gasket or seal is normally made of soft rubber or vinyl and goes around the door or tub opening of the dishwasher, creating a watertight seal. Some dishwasher models have rubber baffles located at the bottom corners of the tub opening that prevent water leaking in that area. When vinyl or rubber ages, it can become less flexible or even brittle and may damage easily or not seal properly.

How to inspect a door gasket on a dishwasher:

- Open your dishwasher door to locate the door gasket, and baffles if applicable.

- Visually inspect the gasket for any signs of wearing, damage, missing pieces, or misalignment.

- If you find any of the above, you will need a replacement door gasket.",https://www.partselect.com/Repair/Dishwasher/Leaking/#DoorGasket
dishwasher,Leaking,Water Inlet Valve,"The water inlet valve feeds the water from your home’s main water line into the dishwasher and could be the source of a leak. The inlet valve can be found behind the lower kick plate. The hot water inlet supply to the valve may be copper tubing, rubber hose or braided hose.

How to test a dishwasher water inlet valve:

- Similar to most other inspections, begin by disconnecting your appliance from both the power and the water source.

- In order to access the water inlet valve, you will need to remove the lower access panel of your appliance. The valve will likely be located on the left side.

- Begin by inspecting the body of the valve. You are looking for any signs of cracking, damage, wear, or any other indication of a leak.

- If you find any of the above, you will need a replacement water inlet valve.",https://www.partselect.com/Repair/Dishwasher/Leaking/#WaterInlet
dishwasher,Leaking,Dispensers & Grommets,"The detergent dispenser and the rinse aid dispenser are normally located on the inner door panel of the dishwasher. Some models use a dispenser assembly that is attached to the panel with screws and a gasket to seal against water leaks. Other models may use a dispenser that is molded into the door panel but uses a dispenser latch assembly that is attached to the back of the inner panel and use a rubber grommet to seal around the dispenser latch where it protrudes through the door panel. If you have a water leak that appears to come from the front of your dishwasher, the dispenser gasket or the dispenser latch grommet may be the cause.

How to inspect a dishwasher detergent/rinse aid dispenser & grommets:

- For safety, unplug your dishwasher before beginning.

- Open the dishwasher door to visually inspect the dispenser.

- First, inspect the lever for cracking or damage, a broken lever would prevent the dispenser from opening or closing properly. Next, inspect the dispenser cover for any wear or damage. Finally, inspect the container itself for cracks or other damage.

- If you find any issues while performing the inspections above, you will need a replacement dispenser.",https://www.partselect.com/Repair/Dishwasher/Leaking/#DispensersAnd
dishwasher,Leaking,Spray Arm,"Water is forced through the dishwasher spray arms to spray water and detergent around the dishwasher. All dishwashers have a lower spray arm located at the bottom of the dishwasher, and some dishwashers also have middle or upper spray arms located below the top dish rack or at the top of the dishwasher tub. Most spray arms are made of plastic which can crack or warp enough to change the spray pattern significantly. Metal spray arms can become damaged or separate at the seams which can also alter the spray pattern. These conditions can cause water to be directed at the bottom of the door where there is no gasket and therefore creating a water leak.

How to inspect dishwasher spray arms:

- While not crucial, we recommend you unplug your dishwasher before starting this inspection.

- Begin by inspecting the arms for any signs of cracking, wear, or any other damage.

- Next, manually spin the spray arms. You should be feeling to see if there is any resistance, if they are wobbling, or if they hit the dish racks. Additionally, inspect to see if any of the holes in the arms are clogged, clear out anything you may find.

- If you find any of the issues described above, you will need replacement spray arms.",https://www.partselect.com/Repair/Dishwasher/Leaking/#SprayArm
dishwasher,Leaking,Float & Float Switch,"The float and float switch are used as a safety device to prevent the dishwasher from overfilling with water. The float is located inside of the tub at the bottom of the dishwasher and the float switch is located beneath the tub directly below the float. The float lifts as the water level in the dishwasher rises, and when the proper water level is reached, the stem of the float activates the float switch to turn off the water inlet valve. A malfunctioning float or float switch could cause the water level to be too high and create a leak. The proper water level is normally just to the heating element on the bottom of the tub. If the water level in your dishwasher is too high, then you should suspect that the float or float switch may be the cause of the problem.

How to test a dishwasher float switch with a multimeter:

- Disconnect your dishwasher from the power source as well as the water supply.

- The float switch will be found inside your dishwasher’s tub; you will need to remove the lower access panel to access it. The switch is usually located directly below the float assembly, once you have located it, remove it in order to test it.

- Using a multimeter set to Rx1, touch the switch’s terminals with the probes to test for continuity. You should receive a reading of zero or infinity. With the probes still touching the terminals, press in on the switch’s button, this should change it to the opposite extreme (from zero to infinity, or infinity to zero).

- If your test results differ from those above, you will need a replacement float switch.",https://www.partselect.com/Repair/Dishwasher/Leaking/#FloatAndFloat
dishwasher,Leaking,Hose Clamps & Hoses,"The hose clamps secure the drain hose and the circulating hose to the dishwasher pump. These hoses and clamps can be found by removing the kickplate at the bottom of the dishwasher. If the clamps have come loose or the hoses have cracks in them, it could be the cause of a leak. Be sure to check the clamps on both the drain hose and the circulating hose.

How to inspect dishwasher hoses:

- Disconnect the water supply as well as the power source from your appliance before beginning.

- The hoses are usually found behind the lower access panel (or kickplate). You will need to remove this in order to locate them.

- You will be checking two hoses, both of which are connected to a pump below the lower spray arm: The drain hose and the recirculation hose. Remove both hoses in order to inspect them.

- Visually inspect the hoses for any signs or wear, cracking, or damage. Attempt to run water through each to identify if there is a blockage inside the hose.

- If you find any issues while performing the inspection above, you will need a replacement hose.",https://www.partselect.com/Repair/Dishwasher/Leaking/#HoseClampsAnd
dishwasher,Will not start,Door Latch Or Door Latch Switch,"If your dishwasher won’t start, the problem could be the door latch or door latch switches. The door latch assembly is used to hold the door closed during the cycle to prevent water from leaking and it also incorporates the door latch switches that supply power to the dishwasher controls. If the door cannot close properly to activate the door latch switches or if the switches are defective, then the dishwasher controls will not receive power and the dishwasher will not start. Inspect the latch assembly including the switches.

How to test a dishwasher door latch assembly with a multimeter:

- Disconnect your appliance from the power source before beginning.

- Begin by removing the inner door panel to gain access to the door latch assembly. It is usually found at the top of the door. Once you have located it, verify that the door catch activates the door latch switches by inserting the catch into the assembly.

- If the switches are being activated mechanically, remove the switches to check them for continuity. Using a multimeter on Rx1, touch the probes to the switch’s terminals. This should produce a reading of zero or nearly zero.

- If you receive a different reading, you will need a replacement door latch assembly.",https://www.partselect.com/Repair/Dishwasher/Will-Not-Start/#DoorLatchOr
dishwasher,Will not start,Timer Or Electronic Control,"If you have determined that the door latch assembly is operating properly and your dishwasher still won’t start, the next step would be to look at the timer or electronic control. The first step of the dishwasher cycle is normally a drain function to remove any standing water in the tub. If you do not hear the drain pump motor running, then you should look at the timer or electronic control as a possible cause. On manual timer models, the timer is used to supply power to the pump motor, water inlet valve, heater circuit and drain pump motor at the proper sequence in the cycle. The timer uses a series of electrical contacts that are driven by a small motor all of which are encased in the timer housing.

How to test a dishwasher timer with a multimeter:

- Disconnect your appliance from the power source.

- Locate and remove the timer. It will most likely be found in the control panel, but it is also often found behind the lower kick plate.

- Some timers may have multiple sets of contacts/wires, if this is true for your model, you will need to refer to your wiring diagram to determine which contacts to test.

- Set your multimeter to Rx1000 and touch the contacts with the probes. Most functioning timers will fall in the range of 2000-3500 ohms of resistance, but this varies between models. Refer to your owner's manual to determine what reading your test should produce.

- If your test results differ from the manufacturer's recommendations, you will need a replacement timer.",https://www.partselect.com/Repair/Dishwasher/Will-Not-Start/#TimerOrElectronic
dishwasher,Will not start,Selector Switch,"The selector switch on a dishwasher is used to select different options for the individual cycles, such as heated dry and heated wash cycles. Depending on the model involved, the switch may be used in the motor or fill circuit and could cause a dishwasher to not start if it were defective or if the selector buttons were not fully depressed. Check to ensure that the switch is properly depressed before attempting any disassembly. The contacts of the selector switch can be checked for continuity with a multimeter using the schematic diagram as a guide.

How to test a dishwasher selector switch with a multimeter:

- Begin by disconnecting your appliance from the power source.

- Remove the inner door panel of your dishwasher in order to locate the selector switch. It most likely will be found on the control panel. Once you have located it, ensure that the switch is properly depressed. If it is, remove it from the appliance in order to test it.

- Using a multimeter set to Rx1, touch the probes to the terminals of the switch, you will need to test each button individually. This should produce a reading of infinity. Next, with the probes still on the terminals, press in on the button of the terminals you are testing. This should change your reading to zero. Repeat this test for all other buttons.

- If any of your readings do not match the results above, you will need a replacement selector switch.",https://www.partselect.com/Repair/Dishwasher/Will-Not-Start/#SelectorSwitch
dishwasher,Will not start,Motor Start Relay,"Some models of dishwashers use a start relay on the main pump motor. The start relay is used to supply power to the motor start windings until the motor is running and has a moving plunger inside that operates a set of contacts. If your dishwasher won’t start and you have verified that you are getting power from the control circuit to the motor, then the motor start relay may be defective.

How to test a dishwasher motor start relay:

- Ensure that you have unplugged your dishwasher before beginning.

- The motor start relay is normally located next to the pump. Remove the lower access panel of your dishwasher in order to locate the motor start relay. Once you have found it, remove it in order to test it.

- After referring to your wiring diagram, set your multimeter to Rx1 and begin by testing the coil portion of the relay for continuity. This test should produce a reading of zero or nearly zero. Next, you will need to manually activate the relay by turning it upside down and allowing the plunger to drop. Once it is activated, touch the probes to the terminals of the relay. This test should also produce a reading of zero or nearly zero.

- If your test results differ from those above, you will need a replacement motor start relay.",https://www.partselect.com/Repair/Dishwasher/Will-Not-Start/#MotorStart
dishwasher,Will not start,Thermal Fuse,"Some models of electronic controlled dishwashers use a thermal fuse to protest the control board. The thermal fuse is normally located on the top side of the circuit board assembly with two wires attached to it. When the thermal fuse fails, the control board will not receive power and the dishwasher will not start.

How to test a dishwasher thermal fuse with a multimeter:

- Unplug your appliance before beginning this test, you will be handling electrical components.

- Remove the inner door of your dishwasher in order to access the control panel. The thermal fuse will be attached to the control panel by 2 wires, carefully disconnect these wires and remove the thermal fuse in order to test it.

- With a multimeter set to Rx1, touch the fuse’s contacts with the probes. You are testing for continuity and should receive a reading of zero or nearly zero.

- If you do not receive this reading, you will need a replacement thermal fuse.",https://www.partselect.com/Repair/Dishwasher/Will-Not-Start/#ThermalFuse
dishwasher,Will not start,Drive Motor,"A dishwasher’s drive motor is the part that circulates the water to wash the items inside. Electrical power to operate the drive motor is supplied through the timer, or the electronic control, in conjunction with a start relay. If the dishwasher won’t start after the start relay sends power to the motor, this could indicate that the drive motor is defective. You may also hear a loud, humming noise coming from the motor – this could indicate a seized motor, which would need to be replaced.

How to test a dishwasher drive motor with a multimeter:

- Before starting, ensure that you have disconnected your dishwasher from the power source.

- Remove the lower access panel of your appliance in order to locate the drive motor. Once you have located it, carefully disconnect the wires attached to it and remove it in order to test it for continuity.

- With the motor removed from the appliance, set your multimeter to Rx1 and touch the probes to the motor’s terminals. A functional drive motor will produce a reading of zero or nearly zero. Next, test the ground connection by moving one of the probes to the bare metal housing of the motor. This test should not produce any reading. 

- If either of your tests produces different readings, you will need a replacement drive motor.",https://www.partselect.com/Repair/Dishwasher/Will-Not-Start/#DriveMotor
dishwasher,Door latch failure,Door Latch Assembly,"If your door latch is not working properly, the first thing to inspect should be the door catch. The door catch is attached to the top of the dishwasher tub and is normally adjustable. If not adjusted properly it can cause the door latch to not activate and will prevent the dishwasher from working, or it may not close the door tight enough to prevent a leak. The door latch may also be worn and no longer creates a tight fit, in which case the door latch will need to be replaced.

How to test a dishwasher door latch assembly with a multimeter:

- Verify that you have unplugged your dishwasher before beginning.

- The door latch assembly is most often found inside the inner door panel, near the top of the door. Remove your inner door panel and locate the door latch assembly.

- Inspect the door catch to verify that it is mechanically activating the switches. If it is, remove the switches in order to test them for continuity.

- Set your multimeter to Rx1 and touch the terminals with the probes. You are testing for continuity and should receive a reading of exactly or nearly zero.

- If your test produces any other reading, you will need a replacement door latch assembly.",https://www.partselect.com/Repair/Dishwasher/Door-Latch-Failure/#DoorLatch
dishwasher,Not cleaning dishes properly,Upper Discharge Housing Gasket,"If you are experiencing low pressure from the spray arms, the upper discharge housing gasket could be the source of the problem.

How to inspect a dishwasher upper discharge housing gasket:

- For safety, unplug your dishwasher before starting this repair.

- This housing gasket is located on the discharge cover above the circulation impeller. The gasket may have just come loose, or it may need to be replaced altogether. Locate your gasket in order to inspect it.

- Inspect the gasket for any signs of wear, damage, cracking, missing chunks, and if it is properly attached. If it is loose, ensure that there is no debris that is preventing a proper seal and then reattach it.

- If you find your housing gasket is damaged or worn, you will need a replacement upper discharge housing gasket.",https://www.partselect.com/Repair/Dishwasher/Not-Cleaning-Properly/#UpperDischargeHousing
